AIRPAL,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_10,__EMPTY_11,__EMPTY_13,__EMPTY_14
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","RECARGO 5,20%","IVA 21%","TOTAL","MARGEN 25%","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"A/A",,,,"0","0","0","0",,,,,,
"986","(SRK35ZSP-W) A/A CONJ SPLIT MITSUBISHI HEAVY 3000FRIG","1","459","23.868000000000002","555.39","579.258","724.0725",,"660","80.74199999999996","80.74199999999996",,
"3420","RAS-13E2AVG-E + RAS-B13E2KVG-E - CONJ SPLIT TOSHIBA SEIYA 3.300 FRIG","1","485","25.22","586.85","612.07","765.0875000000001",,"660","47.92999999999995","47.92999999999995",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,,,,"0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
"TERMOS",,,,"0","0","0","0",,,"0","0",,
"884","(GIATSU) TERMO ELECTRICO CAPRICORNIO 50L","1","90","4.68","108.89999999999999","113.57999999999998","141.97499999999997",,"130","16.420000000000016","16.420000000000016",,
"CA0100100050","(AGUACONFORT) TERMO EWASSER CONFORT 50L","1","73","3.7960000000000003","88.33","92.126","119.7638",,"120","27.873999999999995","27.873999999999995",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
"VENDIDO",,,,"0","0","0","0",,,"0","0",,
"CA0100100080","(AGUACONFORT) TERMO EWASSER CONFORT 80L","1","80","4.16","96.8","100.96","131.248",,"130","29.040000000000006","29.040000000000006",,
"885","(GIATSU) TERMO ELECTRICO CAPRICORNIO 80L","1","105","5.46","127.05","132.51","165.6375",,"150","17.49000000000001","17.49000000000001",,
"CA0010820030","(AGUACONFORT) TERMO THERMOR SLIM 30L","1","110","5.72","133.1","138.82","173.52499999999998",,"170","31.180000000000007","31.180000000000007",,
"883","(GIATSU) TERMO ELECTRICO CAPRICORNIO 30L","2","75","3.9","90.75","94.65","118.3125",,"110","15.349999999999994","30.69999999999999","2","0"
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
,,,,"0","0","0","0",,,,,,
